Report Date:;11-09-2017 17:44:33
Report User Name:;Utilizador
Report Computer Name:;PC
Application:;WinSitu.exe
Application Version:;5.6.21.0


Log File Properties
File Name;2017_09_07_caulerpa_2017-09-11_17-43-45-811.wsl
Create Date;11-09-2017 17:43:44

Device Properties
Device;Rugged TROLL 100
Site;TeaComp_Caulerpa
Device Name;pt_sensor
Serial Number;191721
Firmware Version;1.01
Hardware Version;0
Device Address;1
Device Comm Cfg;19200,8,Even,1,(Modbus-RTU)
Used Memory;0
Used Battery;48

Log Configuration
;Log Name;2017_09_07_caulerpa
;Created By;Utilizador
;Computer Name;PC
;Application;WinSitu.exe
;Application Version;5.6.21.0
;Create Date;06-09-2017 15:50:32 GMT Daylight Time
;Log Setup Time Zone;GMT Daylight Time
;Notes Size(bytes);4096
;Overwrite when full;Disabled
;Scheduled Start Time;07-09-2017 11:00:00 GMT Daylight Time
;Scheduled Stop Time;No Stop Time
;Type;Linear
 ;Interval;Days: 0 hrs: 00 mins: 10 secs: 00



Level Reference Settings At Log Creation
;        Level Measurement Mode;Depth
;              Specific Gravity;1.024


Other Log Settings
;Depth of Probe:;10.1489 (m)
;Head Pressure:;1.01915 (Bar)
;Temperature:;30.2032 (C)



Log Notes:
Date and Time;Note
06-09-2017 15:50:37;Used Battery: 48% Used Memory: 6%   User Name: Utilizador
11-09-2017 17:43:19;Log Download - Used Battery: 48% Used Memory: 6%   User Name: Utilizador


Log Data:
Record Count;617

Sensors;1

 ,1,191721,Pressure/Temp  PSIA (30m/100ft)

Time Zone: GMT Daylight Time

;;Sensor: Pres(A) 100ft         ;Sensor: Pres(A) 100ft         ;Sensor: Pres(A) 100ft         ;
;Elapsed Time;SN#: 191721                   ;SN#: 191721                   ;SN#: 191721                   ;
Date and Time;Seconds     ;Pressure (Bar)                ;Temperature (C)               ;Depth (m)                     ;
07-09-2017 11:00:00;       0.000;                         1.020;                        26.778;                        10.161;
07-09-2017 11:10:00;     600.001;                         1.021;                        26.923;                        10.165;
07-09-2017 11:20:00;    1200.001;                         1.021;                        27.118;                        10.163;
07-09-2017 11:30:00;    1800.001;                         1.021;                        27.166;                        10.164;
07-09-2017 11:40:00;    2400.001;                         1.020;                        27.312;                        10.162;
07-09-2017 11:50:00;    3000.001;                         1.021;                        27.360;                        10.166;
07-09-2017 12:00:00;    3600.001;                         1.020;                        27.263;                        10.161;
07-09-2017 12:10:00;    4200.001;                         1.020;                        27.215;                        10.160;
07-09-2017 12:20:00;    4800.001;                         1.020;                        27.215;                        10.160;
07-09-2017 12:30:00;    5400.001;                         1.021;                        27.118;                        10.164;
07-09-2017 12:40:00;    6000.001;                         1.021;                        27.118;                        10.163;
07-09-2017 12:50:00;    6600.001;                         1.020;                        27.069;                        10.158;
07-09-2017 13:00:00;    7200.001;                         1.020;                        27.118;                        10.155;
07-09-2017 13:10:00;    7800.001;                         1.020;                        27.215;                        10.159;
07-09-2017 13:20:00;    8400.001;                         1.020;                        27.408;                        10.161;
07-09-2017 13:30:00;    9000.001;                         1.084;                        25.560;                        10.794;
07-09-2017 13:40:00;    9600.001;                         1.396;                        23.352;                        13.903;
07-09-2017 13:50:00;   10200.001;                         1.407;                        23.254;                        14.006;
07-09-2017 14:00:00;   10800.001;                         1.417;                        23.204;                        14.113;
07-09-2017 14:10:00;   11400.001;                         1.428;                        23.007;                        14.219;
07-09-2017 14:20:00;   12000.001;                         1.438;                        23.155;                        14.319;
07-09-2017 14:30:00;   12600.001;                         1.448;                        23.106;                        14.419;
07-09-2017 14:40:00;   13200.001;                         1.457;                        23.155;                        14.513;
07-09-2017 14:50:00;   13800.001;                         1.466;                        23.204;                        14.602;
07-09-2017 15:00:00;   14400.001;                         1.474;                        23.254;                        14.679;
07-09-2017 15:10:00;   15000.001;                         1.482;                        23.402;                        14.757;
07-09-2017 15:20:00;   15600.001;                         1.490;                        23.402;                        14.837;
07-09-2017 15:30:00;   16200.001;                         1.496;                        23.549;                        14.899;
07-09-2017 15:40:00;   16800.001;                         1.503;                        23.648;                        14.967;
07-09-2017 15:50:00;   17400.001;                         1.507;                        23.943;                        15.005;
07-09-2017 16:00:00;   18000.001;                         1.512;                        23.943;                        15.054;
07-09-2017 16:10:00;   18600.001;                         1.514;                        23.992;                        15.078;
07-09-2017 16:20:00;   19200.001;                         1.515;                        23.746;                        15.090;
07-09-2017 16:30:00;   19800.001;                         1.514;                        23.500;                        15.082;
07-09-2017 16:40:00;   20400.001;                         1.513;                        23.451;                        15.068;
07-09-2017 16:50:00;   21000.001;                         1.509;                        23.352;                        15.030;
07-09-2017 17:00:00;   21600.001;                         1.504;                        23.303;                        14.972;
07-09-2017 17:10:00;   22200.001;                         1.497;                        23.303;                        14.906;
07-09-2017 17:20:00;   22800.001;                         1.491;                        23.303;                        14.843;
07-09-2017 17:30:00;   23400.001;                         1.485;                        23.352;                        14.786;
07-09-2017 17:40:00;   24000.001;                         1.478;                        23.402;                        14.713;
07-09-2017 17:50:00;   24600.001;                         1.470;                        23.402;                        14.643;
07-09-2017 18:00:00;   25200.001;                         1.463;                        23.352;                        14.565;
07-09-2017 18:10:00;   25800.001;                         1.455;                        23.402;                        14.487;
07-09-2017 18:20:00;   26400.001;                         1.446;                        23.402;                        14.404;
07-09-2017 18:30:00;   27000.001;                         1.437;                        23.451;                        14.307;
07-09-2017 18:40:00;   27600.001;                         1.427;                        23.402;                        14.215;
07-09-2017 18:50:00;   28200.001;                         1.417;                        23.352;                        14.112;
07-09-2017 19:00:00;   28800.001;                         1.407;                        23.402;                        14.010;
07-09-2017 19:10:00;   29400.001;                         1.397;                        23.352;                        13.907;
07-09-2017 19:20:00;   30000.001;                         1.386;                        23.402;                        13.800;
07-09-2017 19:30:00;   30600.001;                         1.375;                        23.451;                        13.689;
07-09-2017 19:40:00;   31200.001;                         1.364;                        23.451;                        13.584;
07-09-2017 19:50:00;   31800.001;                         1.353;                        23.500;                        13.469;
07-09-2017 20:00:00;   32400.001;                         1.342;                        23.549;                        13.360;
07-09-2017 20:10:00;   33000.001;                         1.330;                        23.599;                        13.239;
07-09-2017 20:20:00;   33600.001;                         1.318;                        23.648;                        13.120;
07-09-2017 20:30:00;   34200.001;                         1.305;                        23.648;                        12.991;
07-09-2017 20:40:00;   34800.001;                         1.291;                        23.648;                        12.857;
07-09-2017 20:50:00;   35400.001;                         1.277;                        23.648;                        12.713;
07-09-2017 21:00:00;   36000.001;                         1.264;                        23.697;                        12.583;
07-09-2017 21:10:00;   36600.001;                         1.251;                        23.697;                        12.459;
07-09-2017 21:20:00;   37200.001;                         1.239;                        23.697;                        12.343;
07-09-2017 21:30:00;   37800.001;                         1.230;                        23.648;                        12.247;
07-09-2017 21:40:00;   38400.001;                         1.221;                        23.697;                        12.161;
07-09-2017 21:50:00;   39000.001;                         1.214;                        23.746;                        12.094;
07-09-2017 22:00:00;   39600.001;                         1.208;                        23.746;                        12.031;
07-09-2017 22:10:00;   40200.001;                         1.205;                        23.746;                        12.004;
07-09-2017 22:20:00;   40800.001;                         1.203;                        23.796;                        11.980;
07-09-2017 22:30:00;   41400.001;                         1.204;                        23.746;                        11.989;
07-09-2017 22:40:00;   42000.001;                         1.206;                        23.697;                        12.011;
07-09-2017 22:50:00;   42600.001;                         1.212;                        23.746;                        12.065;
07-09-2017 23:00:00;   43200.001;                         1.217;                        23.746;                        12.122;
07-09-2017 23:10:00;   43800.001;                         1.225;                        23.746;                        12.199;
07-09-2017 23:20:00;   44400.001;                         1.231;                        23.796;                        12.261;
07-09-2017 23:30:00;   45000.001;                         1.239;                        23.845;                        12.339;
07-09-2017 23:40:00;   45600.001;                         1.246;                        23.894;                        12.405;
07-09-2017 23:50:00;   46200.001;                         1.254;                        23.992;                        12.484;
08-09-2017 00:00:00;   46800.001;                         1.261;                        24.041;                        12.556;
08-09-2017 00:10:00;   47400.001;                         1.271;                        24.041;                        12.655;
08-09-2017 00:20:00;   48000.001;                         1.280;                        24.041;                        12.747;
08-09-2017 00:30:00;   48600.001;                         1.288;                        24.041;                        12.826;
08-09-2017 00:40:00;   49200.001;                         1.298;                        24.041;                        12.928;
08-09-2017 00:50:00;   49800.001;                         1.308;                        24.041;                        13.024;
08-09-2017 01:00:00;   50400.001;                         1.318;                        23.992;                        13.126;
08-09-2017 01:10:00;   51000.001;                         1.329;                        24.041;                        13.229;
08-09-2017 01:20:00;   51600.001;                         1.339;                        23.992;                        13.330;
08-09-2017 01:30:00;   52200.001;                         1.349;                        23.992;                        13.437;
08-09-2017 01:40:00;   52800.001;                         1.360;                        23.943;                        13.547;
08-09-2017 01:50:00;   53400.001;                         1.372;                        23.943;                        13.662;
08-09-2017 02:00:00;   54000.001;                         1.382;                        23.894;                        13.760;
08-09-2017 02:10:00;   54600.001;                         1.391;                        23.943;                        13.855;
08-09-2017 02:20:00;   55200.001;                         1.402;                        23.894;                        13.961;
08-09-2017 02:30:00;   55800.001;                         1.413;                        23.746;                        14.066;
08-09-2017 02:40:00;   56400.001;                         1.422;                        23.648;                        14.159;
08-09-2017 02:50:00;   57000.001;                         1.431;                        23.549;                        14.254;
08-09-2017 03:00:00;   57600.001;                         1.441;                        23.451;                        14.346;
08-09-2017 03:10:00;   58200.001;                         1.450;                        23.402;                        14.441;
08-09-2017 03:20:00;   58800.001;                         1.458;                        23.352;                        14.517;
08-09-2017 03:30:00;   59400.001;                         1.466;                        23.352;                        14.595;
08-09-2017 03:40:00;   60000.001;                         1.474;                        23.352;                        14.677;
08-09-2017 03:50:00;   60600.001;                         1.479;                        23.303;                        14.730;
08-09-2017 04:00:00;   61200.001;                         1.486;                        23.204;                        14.795;
08-09-2017 04:10:00;   61800.001;                         1.490;                        23.106;                        14.839;
08-09-2017 04:20:00;   62400.001;                         1.494;                        23.106;                        14.876;
08-09-2017 04:30:00;   63000.001;                         1.497;                        23.106;                        14.903;
08-09-2017 04:40:00;   63600.001;                         1.497;                        23.106;                        14.912;
08-09-2017 04:50:00;   64200.001;                         1.497;                        23.056;                        14.912;
08-09-2017 05:00:00;   64800.001;                         1.496;                        23.106;                        14.897;
08-09-2017 05:10:00;   65400.001;                         1.491;                        23.056;                        14.849;
08-09-2017 05:20:00;   66000.001;                         1.487;                        23.056;                        14.808;
08-09-2017 05:30:00;   66600.001;                         1.481;                        22.958;                        14.750;
08-09-2017 05:40:00;   67200.001;                         1.475;                        22.661;                        14.685;
08-09-2017 05:50:00;   67800.001;                         1.469;                        22.513;                        14.625;
08-09-2017 06:00:00;   68400.001;                         1.463;                        22.661;                        14.564;
08-09-2017 06:10:00;   69000.001;                         1.455;                        22.661;                        14.492;
08-09-2017 06:20:00;   69600.001;                         1.448;                        22.661;                        14.424;
08-09-2017 06:30:00;   70200.001;                         1.440;                        22.710;                        14.342;
08-09-2017 06:40:00;   70800.001;                         1.432;                        22.612;                        14.257;
08-09-2017 06:50:00;   71400.001;                         1.423;                        22.562;                        14.167;
08-09-2017 07:00:00;   72000.001;                         1.413;                        22.513;                        14.074;
08-09-2017 07:10:00;   72600.001;                         1.403;                        22.463;                        13.971;
08-09-2017 07:20:00;   73200.001;                         1.394;                        22.463;                        13.877;
08-09-2017 07:30:00;   73800.001;                         1.383;                        22.364;                        13.774;
08-09-2017 07:40:00;   74400.001;                         1.373;                        22.315;                        13.669;
08-09-2017 07:50:00;   75000.001;                         1.362;                        22.364;                        13.566;
08-09-2017 08:00:00;   75600.001;                         1.352;                        22.265;                        13.461;
08-09-2017 08:10:00;   76200.001;                         1.341;                        22.215;                        13.353;
08-09-2017 08:20:00;   76800.001;                         1.330;                        22.067;                        13.242;
08-09-2017 08:30:00;   77400.001;                         1.317;                        22.017;                        13.116;
08-09-2017 08:40:00;   78000.001;                         1.305;                        21.968;                        12.992;
08-09-2017 08:50:00;   78600.001;                         1.292;                        21.968;                        12.868;
08-09-2017 09:00:00;   79200.001;                         1.279;                        22.017;                        12.735;
08-09-2017 09:10:00;   79800.001;                         1.266;                        22.017;                        12.610;
08-09-2017 09:20:00;   80400.001;                         1.254;                        22.067;                        12.490;
08-09-2017 09:30:00;   81000.001;                         1.243;                        22.116;                        12.374;
08-09-2017 09:40:00;   81600.001;                         1.233;                        22.215;                        12.277;
08-09-2017 09:50:00;   82200.001;                         1.223;                        22.315;                        12.182;
08-09-2017 10:00:00;   82800.001;                         1.218;                        22.513;                        12.125;
08-09-2017 10:10:00;   83400.001;                         1.212;                        22.612;                        12.072;
08-09-2017 10:20:00;   84000.001;                         1.209;                        22.710;                        12.037;
08-09-2017 10:30:00;   84600.001;                         1.208;                        22.809;                        12.027;
08-09-2017 10:40:00;   85200.001;                         1.208;                        22.958;                        12.029;
08-09-2017 10:50:00;   85800.001;                         1.210;                        23.007;                        12.048;
08-09-2017 11:00:00;   86400.001;                         1.215;                        23.056;                        12.094;
08-09-2017 11:10:00;   87000.001;                         1.222;                        23.056;                        12.165;
08-09-2017 11:20:00;   87600.001;                         1.226;                        23.056;                        12.210;
08-09-2017 11:30:00;   88200.001;                         1.234;                        23.056;                        12.286;
08-09-2017 11:40:00;   88800.001;                         1.241;                        23.007;                        12.356;
08-09-2017 11:50:00;   89400.001;                         1.249;                        22.958;                        12.442;
08-09-2017 12:00:00;   90000.001;                         1.257;                        22.958;                        12.521;
08-09-2017 12:10:00;   90600.001;                         1.265;                        22.958;                        12.599;
08-09-2017 12:20:00;   91200.001;                         1.274;                        22.908;                        12.686;
08-09-2017 12:30:00;   91800.001;                         1.283;                        22.958;                        12.776;
08-09-2017 12:40:00;   92400.001;                         1.293;                        22.908;                        12.874;
08-09-2017 12:50:00;   93000.001;                         1.303;                        22.958;                        12.971;
08-09-2017 13:00:00;   93600.001;                         1.313;                        23.007;                        13.078;
08-09-2017 13:10:00;   94200.001;                         1.324;                        23.007;                        13.181;
08-09-2017 13:20:00;   94800.001;                         1.334;                        23.007;                        13.281;
08-09-2017 13:30:00;   95400.001;                         1.345;                        23.007;                        13.390;
08-09-2017 13:40:00;   96000.001;                         1.356;                        22.908;                        13.504;
08-09-2017 13:50:00;   96600.001;                         1.367;                        22.908;                        13.611;
08-09-2017 14:00:00;   97200.001;                         1.378;                        22.859;                        13.719;
08-09-2017 14:10:00;   97800.001;                         1.388;                        22.710;                        13.818;
08-09-2017 14:20:00;   98400.001;                         1.398;                        22.562;                        13.925;
08-09-2017 14:30:00;   99000.001;                         1.409;                        22.513;                        14.028;
08-09-2017 14:40:00;   99600.001;                         1.420;                        22.463;                        14.141;
08-09-2017 14:50:00;  100200.001;                         1.430;                        22.414;                        14.243;
08-09-2017 15:00:00;  100800.001;                         1.440;                        22.364;                        14.338;
08-09-2017 15:10:00;  101400.001;                         1.450;                        22.364;                        14.438;
08-09-2017 15:20:00;  102000.001;                         1.458;                        22.364;                        14.522;
08-09-2017 15:30:00;  102600.001;                         1.468;                        22.463;                        14.616;
08-09-2017 15:40:00;  103200.001;                         1.475;                        22.513;                        14.691;
08-09-2017 15:50:00;  103800.001;                         1.484;                        22.612;                        14.776;
08-09-2017 16:00:00;  104400.001;                         1.491;                        22.661;                        14.843;
08-09-2017 16:10:00;  105000.001;                         1.498;                        22.760;                        14.914;
08-09-2017 16:20:00;  105600.001;                         1.502;                        22.760;                        14.961;
08-09-2017 16:30:00;  106200.001;                         1.507;                        22.809;                        15.008;
08-09-2017 16:40:00;  106800.001;                         1.511;                        22.809;                        15.049;
08-09-2017 16:50:00;  107400.001;                         1.514;                        22.958;                        15.073;
08-09-2017 17:00:00;  108000.001;                         1.514;                        22.859;                        15.076;
08-09-2017 17:10:00;  108600.001;                         1.514;                        22.809;                        15.077;
08-09-2017 17:20:00;  109200.001;                         1.511;                        22.760;                        15.048;
08-09-2017 17:30:00;  109800.001;                         1.507;                        22.710;                        15.004;
08-09-2017 17:40:00;  110400.001;                         1.502;                        22.661;                        14.961;
08-09-2017 17:50:00;  111000.001;                         1.497;                        22.612;                        14.906;
08-09-2017 18:00:00;  111600.001;                         1.490;                        22.562;                        14.842;
08-09-2017 18:10:00;  112200.001;                         1.484;                        22.612;                        14.779;
08-09-2017 18:20:00;  112800.001;                         1.476;                        22.661;                        14.695;
08-09-2017 18:30:00;  113400.001;                         1.468;                        22.661;                        14.619;
08-09-2017 18:40:00;  114000.001;                         1.461;                        22.661;                        14.554;
08-09-2017 18:50:00;  114600.001;                         1.452;                        22.612;                        14.463;
08-09-2017 19:00:00;  115200.001;                         1.443;                        22.562;                        14.374;
08-09-2017 19:10:00;  115800.001;                         1.435;                        22.612;                        14.293;
08-09-2017 19:20:00;  116400.001;                         1.425;                        22.612;                        14.191;
08-09-2017 19:30:00;  117000.001;                         1.415;                        22.661;                        14.093;
08-09-2017 19:40:00;  117600.001;                         1.404;                        22.760;                        13.985;
08-09-2017 19:50:00;  118200.001;                         1.394;                        22.760;                        13.885;
08-09-2017 20:00:00;  118800.001;                         1.382;                        22.809;                        13.764;
08-09-2017 20:10:00;  119400.001;                         1.373;                        22.958;                        13.668;
08-09-2017 20:20:00;  120000.001;                         1.361;                        23.106;                        13.551;
08-09-2017 20:30:00;  120600.001;                         1.350;                        23.254;                        13.447;
08-09-2017 20:40:00;  121200.001;                         1.339;                        23.204;                        13.331;
08-09-2017 20:50:00;  121800.001;                         1.327;                        23.155;                        13.214;
08-09-2017 21:00:00;  122400.001;                         1.315;                        23.155;                        13.092;
08-09-2017 21:10:00;  123000.001;                         1.302;                        23.106;                        12.962;
08-09-2017 21:20:00;  123600.001;                         1.288;                        23.106;                        12.830;
08-09-2017 21:30:00;  124200.001;                         1.275;                        23.056;                        12.692;
08-09-2017 21:40:00;  124800.001;                         1.261;                        23.056;                        12.554;
08-09-2017 21:50:00;  125400.001;                         1.249;                        23.056;                        12.438;
08-09-2017 22:00:00;  126000.001;                         1.238;                        23.155;                        12.329;
08-09-2017 22:10:00;  126600.001;                         1.228;                        23.204;                        12.230;
08-09-2017 22:20:00;  127200.001;                         1.220;                        23.204;                        12.145;
08-09-2017 22:30:00;  127800.001;                         1.212;                        23.204;                        12.074;
08-09-2017 22:40:00;  128400.001;                         1.208;                        23.155;                        12.029;
08-09-2017 22:50:00;  129000.001;                         1.205;                        23.155;                        11.998;
08-09-2017 23:00:00;  129600.001;                         1.203;                        23.106;                        11.983;
08-09-2017 23:10:00;  130200.001;                         1.205;                        23.106;                        12.004;
08-09-2017 23:20:00;  130800.001;                         1.209;                        23.106;                        12.040;
08-09-2017 23:30:00;  131400.001;                         1.214;                        23.106;                        12.089;
08-09-2017 23:40:00;  132000.001;                         1.220;                        23.155;                        12.150;
08-09-2017 23:50:00;  132600.001;                         1.228;                        23.106;                        12.229;
09-09-2017 00:00:00;  133200.001;                         1.235;                        23.106;                        12.300;
09-09-2017 00:10:00;  133800.001;                         1.242;                        23.106;                        12.367;
09-09-2017 00:20:00;  134400.001;                         1.250;                        23.106;                        12.447;
09-09-2017 00:30:00;  135000.001;                         1.258;                        23.106;                        12.524;
09-09-2017 00:40:00;  135600.001;                         1.267;                        23.056;                        12.613;
09-09-2017 00:50:00;  136200.001;                         1.276;                        23.056;                        12.707;
09-09-2017 01:00:00;  136800.001;                         1.285;                        23.056;                        12.797;
09-09-2017 01:10:00;  137400.001;                         1.294;                        23.056;                        12.888;
09-09-2017 01:20:00;  138000.001;                         1.303;                        23.056;                        12.980;
09-09-2017 01:30:00;  138600.001;                         1.315;                        23.106;                        13.091;
09-09-2017 01:40:00;  139200.001;                         1.324;                        23.056;                        13.186;
09-09-2017 01:50:00;  139800.001;                         1.334;                        23.056;                        13.287;
09-09-2017 02:00:00;  140400.001;                         1.345;                        22.958;                        13.390;
09-09-2017 02:10:00;  141000.001;                         1.355;                        22.958;                        13.489;
09-09-2017 02:20:00;  141600.001;                         1.366;                        22.908;                        13.598;
09-09-2017 02:30:00;  142200.001;                         1.374;                        22.908;                        13.687;
09-09-2017 02:40:00;  142800.001;                         1.385;                        22.859;                        13.793;
09-09-2017 02:50:00;  143400.001;                         1.395;                        22.809;                        13.890;
09-09-2017 03:00:00;  144000.001;                         1.406;                        22.809;                        13.997;
09-09-2017 03:10:00;  144600.001;                         1.416;                        22.809;                        14.097;
09-09-2017 03:20:00;  145200.001;                         1.425;                        22.859;                        14.194;
09-09-2017 03:30:00;  145800.001;                         1.435;                        22.859;                        14.288;
09-09-2017 03:40:00;  146400.001;                         1.444;                        22.859;                        14.378;
09-09-2017 03:50:00;  147000.001;                         1.453;                        22.859;                        14.471;
09-09-2017 04:00:00;  147600.001;                         1.460;                        22.859;                        14.540;
09-09-2017 04:10:00;  148200.001;                         1.467;                        22.710;                        14.613;
09-09-2017 04:20:00;  148800.001;                         1.475;                        22.661;                        14.685;
09-09-2017 04:30:00;  149400.001;                         1.482;                        22.612;                        14.754;
09-09-2017 04:40:00;  150000.001;                         1.486;                        22.612;                        14.796;
09-09-2017 04:50:00;  150600.001;                         1.490;                        22.414;                        14.842;
09-09-2017 05:00:00;  151200.001;                         1.494;                        22.265;                        14.876;
09-09-2017 05:10:00;  151800.001;                         1.496;                        22.215;                        14.895;
09-09-2017 05:20:00;  152400.001;                         1.496;                        22.215;                        14.901;
09-09-2017 05:30:00;  153000.001;                         1.495;                        22.265;                        14.883;
09-09-2017 05:40:00;  153600.001;                         1.493;                        22.265;                        14.867;
09-09-2017 05:50:00;  154200.001;                         1.489;                        22.265;                        14.827;
09-09-2017 06:00:00;  154800.001;                         1.483;                        22.513;                        14.772;
09-09-2017 06:10:00;  155400.001;                         1.478;                        22.414;                        14.714;
09-09-2017 06:20:00;  156000.001;                         1.472;                        22.315;                        14.654;
09-09-2017 06:30:00;  156600.001;                         1.466;                        22.215;                        14.596;
09-09-2017 06:40:00;  157200.001;                         1.458;                        22.215;                        14.523;
09-09-2017 06:50:00;  157800.001;                         1.451;                        22.166;                        14.452;
09-09-2017 07:00:00;  158400.001;                         1.444;                        22.116;                        14.377;
09-09-2017 07:10:00;  159000.001;                         1.436;                        22.116;                        14.304;
09-09-2017 07:20:00;  159600.001;                         1.428;                        22.116;                        14.216;
09-09-2017 07:30:00;  160200.001;                         1.419;                        22.116;                        14.135;
09-09-2017 07:40:00;  160800.001;                         1.410;                        22.166;                        14.038;
