"Plot Title: 10768690"
"#","Date Time, GMT+01:00","Abs Pres, kPa (LGR S/N: 10768690, SEN S/N: 10768690, LBL: pressure)","Temp, °C (LGR S/N: 10768690, SEN S/N: 10768690, LBL: temp)","Coupler Detached (LGR S/N: 10768690)","Coupler Attached (LGR S/N: 10768690)","Host Connected (LGR S/N: 10768690)","Stopped (LGR S/N: 10768690)","End Of File (LGR S/N: 10768690)"
1,06/17/19 12:00:00 PM,101.676,22.429,Logged,,,,
2,06/17/19 12:10:00 PM,101.628,24.062,,,,,
3,06/17/19 12:20:00 PM,101.631,22.142,,,,,
4,06/17/19 12:30:00 PM,101.598,23.196,,,,,
5,06/17/19 12:40:00 PM,101.628,24.062,,,,,
6,06/17/19 12:50:00 PM,101.611,25.610,,,,,
7,06/17/19 01:00:00 PM,137.245,19.092,,,,,
8,06/17/19 01:10:00 PM,138.122,17.760,,,,,
9,06/17/19 01:20:00 PM,139.081,17.475,,,,,
10,06/17/19 01:30:00 PM,139.944,17.379,,,,,
11,06/17/19 01:40:00 PM,140.841,17.284,,,,,
12,06/17/19 01:50:00 PM,141.704,17.189,,,,,
13,06/17/19 02:00:00 PM,142.463,17.094,,,,,
14,06/17/19 02:10:00 PM,143.365,17.094,,,,,
15,06/17/19 02:20:00 PM,101.517,19.948,,,,,
16,06/17/19 02:30:00 PM,101.552,18.996,,,,,
17,06/17/19 02:40:00 PM,101.562,18.331,,,,,
18,06/17/19 02:50:00 PM,101.587,19.948,,,,,
19,06/17/19 03:00:00 PM,101.485,21.951,,,,,
20,06/17/19 03:10:00 PM,101.500,23.388,,,,,
21,06/17/19 03:20:00 PM,101.532,23.292,,,,,
22,06/17/19 03:30:00 PM,101.518,22.908,,,,,
23,06/17/19 03:40:00 PM,101.515,22.812,,,,,
24,06/17/19 03:50:00 PM,101.442,22.717,,,,,
25,06/17/19 04:00:00 PM,101.226,22.525,,,,,
26,06/17/19 04:10:00 PM,101.213,22.142,,,,,
27,06/17/19 04:20:00 PM,101.214,21.187,,,,,
28,06/17/19 04:30:00 PM,101.225,20.519,,,,,
29,06/17/19 04:40:00 PM,101.189,21.473,,,,,
30,06/17/19 04:50:00 PM,101.155,20.519,,,,,
31,06/17/19 05:00:00 PM,101.152,19.472,,,,,
32,06/17/19 05:10:00 PM,101.183,19.377,,,,,
33,06/17/19 05:20:00 PM,101.176,19.187,,,,,
34,06/17/19 05:30:00 PM,101.134,18.996,,,,,
35,06/17/19 05:40:00 PM,101.148,20.329,,,,,
36,06/17/19 05:50:00 PM,101.200,20.805,,,,,
37,06/17/19 06:00:00 PM,101.207,20.996,,,,,
38,06/17/19 06:10:00 PM,101.179,21.187,,,,,
39,06/17/19 06:20:00 PM,101.217,21.282,,,,,
40,06/17/19 06:30:00 PM,101.151,21.378,,,,,
41,06/17/19 06:40:00 PM,101.154,21.473,,,,,
42,06/17/19 06:50:00 PM,101.126,21.664,,,,,
43,06/17/19 07:00:00 PM,101.126,21.664,,,,,
44,06/17/19 07:10:00 PM,101.095,21.760,,,,,
45,06/17/19 07:20:00 PM,101.095,21.760,,,,,
46,06/17/19 07:30:00 PM,101.098,21.855,,,,,
47,06/17/19 07:40:00 PM,101.105,22.046,,,,,
48,06/17/19 07:50:00 PM,101.074,22.142,,,,,
49,06/17/19 08:00:00 PM,101.112,22.238,,,,,
50,06/17/19 08:10:00 PM,101.112,22.238,,,,,
51,06/17/19 08:20:00 PM,101.122,22.525,,,,,
52,06/17/19 08:24:10 PM,,,,Logged,,,
53,06/17/19 08:24:19 PM,,,Logged,,,,
54,06/17/19 08:24:20 PM,,,,Logged,,,
55,06/17/19 08:24:28 PM,,,Logged,,,,
56,06/17/19 08:25:07 PM,,,,Logged,Logged,,
57,06/17/19 08:25:25 PM,,,,,,Logged,Logged
