"local_date_time","UTC_date_time","height","phenomenon"
2017-06-01 02:28:00,2017-06-01 01:28:00,1,"low-tide"
2017-06-01 08:59:00,2017-06-01 07:59:00,2.8,"high-tide"
2017-06-01 14:46:00,2017-06-01 13:46:00,1.3,"low-tide"
2017-06-01 21:26:00,2017-06-01 20:26:00,2.9,"high-tide"
2017-06-02 03:42:00,2017-06-02 02:42:00,1.2,"low-tide"
2017-06-02 10:08:00,2017-06-02 09:08:00,2.7,"high-tide"
2017-06-02 16:05:00,2017-06-02 15:05:00,1.3,"low-tide"
2017-06-02 22:34:00,2017-06-02 21:34:00,2.9,"high-tide"
2017-06-03 04:54:00,2017-06-03 03:54:00,1.2,"low-tide"
2017-06-03 11:15:00,2017-06-03 10:15:00,2.7,"high-tide"
2017-06-03 17:17:00,2017-06-03 16:17:00,1.3,"low-tide"
2017-06-03 23:39:00,2017-06-03 22:39:00,2.9,"high-tide"
2017-06-04 05:53:00,2017-06-04 04:53:00,1.1,"low-tide"
2017-06-04 12:13:00,2017-06-04 11:13:00,2.8,"high-tide"
2017-06-04 18:15:00,2017-06-04 17:15:00,1.2,"low-tide"
2017-06-05 00:33:00,2017-06-04 23:33:00,2.9,"high-tide"
2017-06-05 06:41:00,2017-06-05 05:41:00,1.1,"low-tide"
2017-06-05 13:00:00,2017-06-05 12:00:00,2.9,"high-tide"
2017-06-05 19:03:00,2017-06-05 18:03:00,1.1,"low-tide"
2017-06-06 01:19:00,2017-06-06 00:19:00,2.9,"high-tide"
2017-06-06 07:23:00,2017-06-06 06:23:00,1,"low-tide"
2017-06-06 13:42:00,2017-06-06 12:42:00,3,"high-tide"
2017-06-06 19:45:00,2017-06-06 18:45:00,1,"low-tide"
2017-06-07 02:01:00,2017-06-07 01:01:00,3,"high-tide"
2017-06-07 08:01:00,2017-06-07 07:01:00,0.9,"low-tide"
2017-06-07 14:22:00,2017-06-07 13:22:00,3.1,"high-tide"
2017-06-07 20:23:00,2017-06-07 19:23:00,0.9,"low-tide"
2017-06-08 02:40:00,2017-06-08 01:40:00,3,"high-tide"
2017-06-08 08:35:00,2017-06-08 07:35:00,0.9,"low-tide"
2017-06-08 14:59:00,2017-06-08 13:59:00,3.1,"high-tide"
2017-06-08 20:58:00,2017-06-08 19:58:00,0.9,"low-tide"
2017-06-09 03:17:00,2017-06-09 02:17:00,3,"high-tide"
2017-06-09 09:08:00,2017-06-09 08:08:00,0.9,"low-tide"
2017-06-09 15:36:00,2017-06-09 14:36:00,3.2,"high-tide"
2017-06-09 21:32:00,2017-06-09 20:32:00,0.9,"low-tide"
2017-06-10 03:53:00,2017-06-10 02:53:00,3,"high-tide"
2017-06-10 09:39:00,2017-06-10 08:39:00,0.9,"low-tide"
